Fill Time s,Injection Pressure (MPa),Holding Pressure MPa,Holding Time s,Total Pack s,Mould Temp C,Clamp Force Ton,Shot Weight,Mould SA,Mould Vol,Cavity SA,Cavity Vol,Melt Temp C,Mat Density,GF%,MMFR,Weight
3.86,100,17,6.78,38.56,50,100,789,549.8585,92.53625,518.3785,87.79351,220,1.04,20,4.3,83.605003
7,83,83,3,47,35,150,789,549.8585,92.53625,518.3785,87.79351,220,1.04,20,4.3,83.605003
8,80,80,4,50,35,150,789,549.8585,92.53625,518.3785,87.79351,220,1.04,20,4.3,83.605003
8,50,50,2,22,35,150,789,549.8585,92.53625,518.3785,87.79351,210,1.04,20,4.3,83.605003
8,15,15.04,2,22,35,150,789,549.8585,92.53625,518.3785,87.79351,210,1.04,20,4.3,83.605003
4,15,-1,2,22,35,150,789,549.8585,92.53625,518.3785,87.79351,185,1.04,20,4.3,6.696
10,20,-1,2,22,35,150,789,549.8585,92.53625,518.3785,87.79351,185,1.04,20,4.3,8.656
4,15,-1,1,21,35,150,789,549.8585,92.53625,518.3785,87.79351,180,1.04,20,4.3,77.463997
8,100.42,-1,4,49,55,150,789,549.8585,92.53625,518.3785,87.79351,255,1.04,20,4.3,79.497002
10,110,101.626999,8,38,80,150,789,549.8585,92.53625,518.3785,87.79351,240,1.04,20,4.3,84.313004
10,110,-1,8,38,50,150,789,549.8585,92.53625,518.3785,87.79351,260,1.04,20,4.3,79.209999
6,120,110.865997,8,38,60,150,789,549.8585,92.53625,518.3785,87.79351,200,1.04,20,4.3,84.313004
7,120,72,8,38,90,200,789,549.8585,92.53625,518.3785,87.79351,180,1.04,20,4.3,84.313004
7,120,92,6,66,90,100,789,549.8585,92.53625,518.3785,87.79351,190,1.04,20,4.3,84.313004
7,120,92,6,66,100,125,789,549.8585,92.53625,518.3785,87.79351,220,1.04,20,4.3,84.313004
8,120,-1,4,49,40,175,789,549.8585,92.53625,518.3785,87.79351,180,1.04,20,4.3,42.029999
11,120,-1,8,98,60,175,789,549.8585,92.53625,518.3785,87.79351,185,1.04,20,4.3,51.408001
10,60,41,4,49,60,150,789,549.8585,92.53625,518.3785,87.79351,230,1.04,20,4.3,84.313004
14,120,-1,8,98,60,175,789,549.8585,92.53625,518.3785,87.79351,190,1.04,20,4.3,50.907001
8,88.42,88.656998,4,49,35,150,789,549.8585,92.53625,518.3785,87.79351,185,1.04,20,4.3,83.605003
1.98,100,133,5.66,19.55,90,100,294,814.7846,132.68916,677.8491,89.24854,200,1.41,-1,8.6,153.638
2,122,110,3,25,35,125,294,814.7846,132.68916,677.8491,89.24854,184,1.41,-1,8.6,160.039993
5,122,110,3,25,35,125,294,814.7846,132.68916,677.8491,89.24854,184,1.41,-1,8.6,158.533997
5,132,120.39,6,28,45,125,294,814.7846,132.68916,677.8491,89.24854,194,1.41,-1,8.6,159.473999
8,150,-1,8,38,55,150,294,814.7846,132.68916,677.8491,89.24854,204,1.41,-1,8.6,124.596001
10,175,-1,12,42,65,150,294,814.7846,132.68916,677.8491,89.24854,224,1.41,-1,8.6,124.113998
3,100,100,2,17,45,125,294,814.7846,132.68916,677.8491,89.24854,174,1.41,-1,8.6,156.309998
1,92,95,2,17,35,125,294,814.7846,132.68916,677.8491,89.24854,154,1.41,-1,8.6,156.856003
2,89,89.35,2,17,35,125,294,814.7846,132.68916,677.8491,89.24854,174,1.41,-1,8.6,156.914001
0.75,80,86.740997,1,16,35,125,294,814.7846,132.68916,677.8491,89.24854,174,1.41,-1,8.6,156.330994
1.75,50,-1,1,16,35,125,294,814.7846,132.68916,677.8491,89.24854,154,1.41,-1,8.6,103.847
2,45,-1,2,24,35,125,294,814.7846,132.68916,677.8491,89.24854,185,1.41,-1,8.6,149.908997
1,122,122.429001,2,24,35,125,294,814.7846,132.68916,677.8491,89.24854,255,1.41,-1,8.6,163.052002
2.5,122,122.403,2,24,25,125,294,814.7846,132.68916,677.8491,89.24854,225,1.41,-1,8.6,161.466003
10,122,-1,2,24,25,125,294,814.7846,132.68916,677.8491,89.24854,145,1.41,-1,8.6,88.814003
6,122,122.341003,4,48,15,125,294,814.7846,132.68916,677.8491,89.24854,165,1.41,-1,8.6,160.822006
4,130,130.468002,3,38,65,100,294,814.7846,132.68916,677.8491,89.24854,185,1.41,-1,8.6,158.811005
3,125,125.420998,2.5,17.5,40,150,294,814.7846,132.68916,677.8491,89.24854,195,1.41,-1,8.6,158.582993
6,70,70.188004,2.5,17.5,40,150,294,814.7846,132.68916,677.8491,89.24854,195,1.41,-1,8.6,156.302002
0.91,100,65,2.79,5.8,90,100,47,16.9258,8.25537,8.9513,5.30711,200,1.41,-1,8.6,10.696
3,160,-1,3,20,90,100,47,16.9258,8.25537,8.9513,5.30711,200,1.41,-1,8.6,8.999
2,140,-1,1,18,60,25,47,16.9258,8.25537,8.9513,5.30711,180,1.41,-1,8.6,8.676
2,160,-1,1,18,60,25,47,16.9258,8.25537,8.9513,5.30711,190,1.41,-1,8.6,8.599
2,160,104,1,18,90,50,47,16.9258,8.25537,8.9513,5.30711,190,1.41,-1,8.6,10.927
2,160,104,1,18,120,50,47,16.9258,8.25537,8.9513,5.30711,200,1.41,-1,8.6,10.896
2,180,117,1,18,120,75,47,16.9258,8.25537,8.9513,5.30711,200,1.41,-1,8.6,10.935
2,180,75,1,18,120,75,47,16.9258,8.25537,8.9513,5.30711,220,1.41,-1,8.6,10.776
3,160,-1,2,19,60,25,47,16.9258,8.25537,8.9513,5.30711,200,1.41,-1,8.6,6.961
3,160,-1,2,19,90,50,47,16.9258,8.25537,8.9513,5.30711,200,1.41,-1,8.6,8.49
3,180,-1,2,19,90,50,47,16.9258,8.25537,8.9513,5.30711,220,1.41,-1,8.6,8.36
3,180,96.634003,2,19,120,75,47,16.9258,8.25537,8.9513,5.30711,220,1.41,-1,8.6,10.936
4,140,-1,3,20,60,25,47,16.9258,8.25537,8.9513,5.30711,180,1.41,-1,8.6,5.674
