Fill Time s,Injection Pressure (MPa),Holding Pressure MPa,Holding Time s,Cooling Time,Mould Temp C,Clamp Force Ton,Shot Weight,Mould SA,Mould Vol,Cavity SA,Cavity Vol,Melt Temp C,Mat Density,GF%,MMFR,Weight
5,85,50,7,30,35,220,440,1,90.55555556,1,1,179,0.9,1,13,81.5
8,80.92485549,97.10982659,5,35,35,110,139,1,90.55555556,1,1,179,0.9,1,13,81.5
5,44.50867052,48.55491329,4,15,35,90,139,1,16.81111111,1,1,179,0.9,1,13,15.13
0.5,124.6122027,109.6587384,5,150,50,125,294,1,121.1333333,1,1,179,0.9,1,13,109.02
8,74.55621302,70.41420118,15,80,35,250,547,1,468.6666667,1,1,179,0.9,1,13,421.8
4,73.35260116,73.35260116,5,18,35,110,139,1,13.55555556,1,1,179,0.9,1,13,12.2
20,49.70414201,49.70414201,4,55,35,160,291,1,475,1,1,179,0.9,1,13,427.5
5,33.61620058,60.0289296,5,12,59,80,99,1,12.75714286,1,1,170,1.4,1,8.8,17.86
3,37.18,-0.676,-1,13,74,50,47,1,15.96428571,1,1,170,1.4,1,8.8,22.35
3,94.70527404,69.78283351,2,10,35,125,294,1,36.92857143,1,1,170,1.4,1,8.8,51.7
5,89.72078594,74.76732161,3,25,35,125,294,1,42.34285714,1,1,170,1.4,1,8.8,59.28
3,56.44,33.2,1,10,35,80,76,1,13.74285714,1,1,170,1.4,1,8.8,19.24
5,73.98843931,60.11560694,2.5,20,40,90,139,1,12.88571429,1,1,170,1.4,1,8.8,18.04
3,60,63,1,10,58,50,47,1,12.6,1,1,170,1.4,1,8.8,17.64
3,81.80058083,85.89060987,1,10,65,50,64,1,12.59285714,1,1,170,1.4,1,8.8,17.63
8,64.03085824,48.02314368,2,10,35,80,99,1,25.03571429,1,1,170,1.4,1,8.8,35.05
4,86.08907871,60.76876144,4,20,35,80,125,1,4.357142857,1,1,170,1.4,1,8.8,6.1
3,55.01930502,40.34749035,1,12,35,50,30,1,12.78571429,1,1,170,1.4,1,8.8,17.9
4,68.78612717,28.32369942,3,21,35,90,139,1,13.57142857,1,1,170,1.4,1,8.8,19
5,52.60115607,20.23121387,2,10,35,90,139,1,7.357142857,1,1,170,1.4,1,8.8,10.3
4,60.76876144,60.76876144,2,13,35,50,125,1,12.5,1,1,170,1.4,1,8.8,17.5
0.71,84.73629783,59.81385729,3,14,55,150,294,1,10.47142857,1,1,170,1.4,1,8.8,14.66
7,85.20710059,42.6035503,5,6,35,160,291,1,45.35714286,1,1,170,1.4,1,8.8,63.5
5,75.9609518,50.64063453,3,45,35,80,125,1,30.71428571,1,1,170,1.4,1,8.8,43
2,57,27,2,10,53,50,47,1,9.601941748,1,1,270,1.03,1,13.5,9.89
5,78.69822485,99.40828402,3,4,63,160,291,1,19.71276596,1,1,210,0.94,1,0.49,18.53
4.5,85.20710059,42.6035503,1.5,19,35,160,291,1,53.33333333,1,1,170,0.9,1,8.8,48
20,120.1183432,70.41420118,8,80,65,250,547,1,443.1057692,1,1,190,1.04,20,4.3,460.83
8,80.50089445,104.6511628,9,75,35,150,789,1,424.4903846,1,1,190,1.04,20,4.3,441.47
15,48.04733728,49.70414201,5,50,51,250,547,1,75.03846154,1,1,190,1.04,20,4.3,78.04
14,161.0017889,193.2021467,6,75,35,150,789,1,452.8846154,1,1,190,1.04,20,4.3,471
1.5,66.02316602,66.02316602,2.5,7,35,50,30,1,13.21428571,1,1,170,1.4,1,26.2,18.5
1.5,91.15314216,91.15314216,2.5,8,35,80,125,1,12.5,1,1,170,1.4,1,26.2,17.5
4,153.947529,101.2812691,2,7,35,80,125,1,10.64285714,1,1,170,1.4,1,26.2,14.9
1,112.0540019,68.03278689,1,7,35,80,99,1,10.64285714,1,1,170,1.4,1,26.2,14.9
3.5,171.5452689,147.0388019,2,8,35,150,538,1,10.64285714,1,1,170,1.4,1,26.2,14.9
5,81.18343195,66.27218935,4,60,35,250,547,1,244.9612403,1,1,260,1.29,30,6.4,316
10,109.3491124,53.84615385,8,70,35,160,291,1,244.9612403,1,1,260,1.29,30,6.4,316
3,57.26040658,53.17037754,1,12,36,50,64,1,4.192307692,1,1,223,1.3,1,4.5,5.45
3,69.53049371,28.63020329,2,12,35,50,64,1,2.307692308,1,1,223,1.3,1,4.5,3
3,40.8,36,2,12,35,50,47,1,10.42307692,1,1,223,1.3,1,4.5,13.55
1.5,42,39,0.8,12,35,50,47,1,4.3,1,1,223,1.3,1,4.5,5.59
5,147.0388019,7.351940095,2,10,39,150,538,1,11.42307692,1,1,223,1.3,1,4.5,14.85
2.5,24.54017425,44.99031946,1,10,35,50,64,1,4.292307692,1,1,223,1.3,1,4.5,5.58
2.5,25.67567568,33.01158301,1,10,35,50,30,1,4.292307692,1,1,223,1.3,1,4.5,5.58
5,62.35521236,47.68339768,2,15,35,50,30,1,5.384615385,1,1,223,1.3,1,4.5,7
3,73.62052275,53.17037754,2,12,74,50,64,1,9.450704225,1,1,178,1.42,1,2.1,13.42
3,86.08907871,55.70469799,1,10,35,50,125,1,8.450704225,1,1,178,1.42,1,2.1,12
2,129.4797688,78.61271676,2,10,35,90,139,1,8.450704225,1,1,178,1.42,1,2.1,12
8,80.09467456,70.91715976,4,45,35,160,291,1,89.44444444,1,1,232,0.9,20,4.5,80.5
3,62.35521236,40.34749035,0.8,9,35,50,30,1,9.513043478,1,1,215,1.15,1,80,10.94
3,86.08907871,40.51250763,0.8,9,35,50,125,1,9.513043478,1,1,215,1.15,1,80,10.94
2,48.01838024,48.01838024,2,8,35,50,36,1,9.513043478,1,1,215,1.15,1,80,10.94
5,69.69111969,47.68339768,2,10,35,50,30,1,9.513043478,1,1,215,1.15,1,80,10.94
2,61.35043562,44.99031946,3,16,38,50,64,1,5.161538462,1,1,223,1.3,1,4.5,6.71
3,53.17037754,40.90029042,2,14,35,50,64,1,5.115384615,1,1,223,1.3,1,4.5,6.65
4,57.26040658,49.0803485,2,14,35,50,64,1,5.223076923,1,1,223,1.3,1,4.5,6.79
3,88.04243009,64.03085824,2,18,35,80,99,1,37.68794326,1,1,168,1.41,1,2.1,53.14
5,74.21022401,48.01838024,2,18,51,50,36,1,3.460992908,1,1,168,1.41,1,2.1,4.88
4,43.35430784,44.99031946,2,17,35,50,64,1,5.709219858,1,1,168,1.41,1,2.1,8.05
