Fill Time s,Injection Pressure (MPa),Holding Pressure MPa,Holding Time s,Total Pack s,Mould Temp C,Clamp Force Ton,Shot Weight,Mould SA,Mould Vol,Cavity SA,Cavity Vol,Melt Temp C,Mat Density,GF%,MMFR,Weight
3.86,100.0,17.0,6.78,38.56,50.0,100.0,789.0,518.3785,87.79351,549.8585,92.53625,220.0,1.04,20.0,4.3,83.605003
7.0,83.0,83.0,3.0,47.0,35.0,150.0,789.0,518.3785,87.79351,549.8585,92.53625,220.0,1.04,20.0,4.3,83.605003
8.0,80.0,80.0,4.0,50.0,35.0,150.0,789.0,518.3785,87.79351,549.8585,92.53625,220.0,1.04,20.0,4.3,83.605003
8.0,50.0,50.0,2.0,22.0,35.0,150.0,789.0,518.3785,87.79351,549.8585,92.53625,210.0,1.04,20.0,4.3,83.605003
8.0,15.0,15.04,2.0,22.0,35.0,150.0,789.0,518.3785,87.79351,549.8585,92.53625,210.0,1.04,20.0,4.3,83.605003
4.0,15.0,-1.0,2.0,22.0,35.0,150.0,789.0,518.3785,87.79351,549.8585,92.53625,185.0,1.04,20.0,4.3,6.696
10.0,20.0,-1.0,2.0,22.0,35.0,150.0,789.0,518.3785,87.79351,549.8585,92.53625,185.0,1.04,20.0,4.3,8.656
4.0,15.0,-1.0,1.0,21.0,35.0,150.0,789.0,518.3785,87.79351,549.8585,92.53625,180.0,1.04,20.0,4.3,77.463997
8.0,100.42,-1.0,4.0,49.0,55.0,150.0,789.0,518.3785,87.79351,549.8585,92.53625,255.0,1.04,20.0,4.3,79.497002
10.0,110.0,101.626999,8.0,38.0,80.0,150.0,789.0,518.3785,87.79351,549.8585,92.53625,240.0,1.04,20.0,4.3,84.313004
10.0,110.0,-1.0,8.0,38.0,50.0,150.0,789.0,518.3785,87.79351,549.8585,92.53625,260.0,1.04,20.0,4.3,79.209999
6.0,120.0,110.865997,8.0,38.0,60.0,150.0,789.0,518.3785,87.79351,549.8585,92.53625,200.0,1.04,20.0,4.3,84.313004
7.0,120.0,72.0,8.0,38.0,90.0,200.0,789.0,518.3785,87.79351,549.8585,92.53625,180.0,1.04,20.0,4.3,84.313004
7.0,120.0,92.0,6.0,66.0,90.0,100.0,789.0,518.3785,87.79351,549.8585,92.53625,190.0,1.04,20.0,4.3,84.313004
7.0,120.0,92.0,6.0,66.0,100.0,125.0,789.0,518.3785,87.79351,549.8585,92.53625,220.0,1.04,20.0,4.3,84.313004
8.0,120.0,-1.0,4.0,49.0,40.0,175.0,789.0,518.3785,87.79351,549.8585,92.53625,180.0,1.04,20.0,4.3,42.029999
11.0,120.0,-1.0,8.0,98.0,60.0,175.0,789.0,518.3785,87.79351,549.8585,92.53625,185.0,1.04,20.0,4.3,51.408001
10.0,60.0,41.0,4.0,49.0,60.0,150.0,789.0,518.3785,87.79351,549.8585,92.53625,230.0,1.04,20.0,4.3,84.313004
14.0,120.0,-1.0,8.0,98.0,60.0,175.0,789.0,518.3785,87.79351,549.8585,92.53625,190.0,1.04,20.0,4.3,50.907001
8.0,88.42,88.656998,4.0,49.0,35.0,150.0,789.0,518.3785,87.79351,549.8585,92.53625,185.0,1.04,20.0,4.3,83.605003
1.98,100.0,133.0,5.66,19.55,90.0,100.0,294.0,677.8491,89.24854,814.7846,132.68916,200.0,1.41,-1.0,8.6,153.638
2.0,122.0,110.0,3.0,25.0,35.0,125.0,294.0,677.8491,89.24854,814.7846,132.68916,184.0,1.41,-1.0,8.6,160.039993
5.0,122.0,110.0,3.0,25.0,35.0,125.0,294.0,677.8491,89.24854,814.7846,132.68916,184.0,1.41,-1.0,8.6,158.533997
5.0,132.0,120.39,6.0,28.0,45.0,125.0,294.0,677.8491,89.24854,814.7846,132.68916,194.0,1.41,-1.0,8.6,159.473999
8.0,150.0,-1.0,8.0,38.0,55.0,150.0,294.0,677.8491,89.24854,814.7846,132.68916,204.0,1.41,-1.0,8.6,124.596001
10.0,175.0,-1.0,12.0,42.0,65.0,150.0,294.0,677.8491,89.24854,814.7846,132.68916,224.0,1.41,-1.0,8.6,124.113998
3.0,100.0,100.0,2.0,17.0,45.0,125.0,294.0,677.8491,89.24854,814.7846,132.68916,174.0,1.41,-1.0,8.6,156.309998
1.0,92.0,95.0,2.0,17.0,35.0,125.0,294.0,677.8491,89.24854,814.7846,132.68916,154.0,1.41,-1.0,8.6,156.856003
2.0,89.0,89.35,2.0,17.0,35.0,125.0,294.0,677.8491,89.24854,814.7846,132.68916,174.0,1.41,-1.0,8.6,156.914001
0.75,80.0,86.740997,1.0,16.0,35.0,125.0,294.0,677.8491,89.24854,814.7846,132.68916,174.0,1.41,-1.0,8.6,156.330994
